Metric,Standard_GraphSAGE,AMRG_GraphSAGE,Improvement
Accuracy,0.8386837881219904,0.8426966292134831,0.0040128410914926915
Precision,0.844319775596073,0.8492957746478873,0.004975999051814339
Recall,0.869942196531792,0.8713872832369942,0.0014450867052022698
F1,0.8569395017793594,0.8601997146932953,0.003260212913935856
ROC-AUC,0.9139808226038688,0.9142077586027003,0.00022693599883150117
